Account,classification,total_trades,win_rate,total_pnl,avg_pnl,total_usd,pnl_std,ROI
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100,0.37,124769.221441,1247.69221441,1507100.86,11520.282898690139,0.0827875723201432
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,945,0.06666666666666667,-40282.335904,-42.62681048042328,11415855.67,1289.487845749869,-0.0035286304477253434
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1778,0.5264341957255343,1113373.547515,626.1943461839145,30262439.89,4691.545888798549,0.036790607484458185
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,574,0.1602787456445993,276719.270187,482.08932088327526,8686990.84,7052.46143903019,0.031854444799552704
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,0.5819477434679335,125650.11674,298.4563342992874,9824876.71,1806.900659857572,0.012788976436936885
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,170,0.3,-4235.153050999999,-24.91266500588235,366532.65,299.07692609327387,-0.011554640632969529
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,825,0.576969696969697,35658.894935000004,43.22290295151516,1523508.3,223.9047074272948,0.023405776611128408
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2622,0.4782608695652174,-1658.7368009999998,-0.6326227311212814,2573742.54,137.3302908464054,-0.0006444843550668435
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2943,0.4016309887869521,30053.395556,10.211823158681618,6487032.05,57.22376584415156,0.004632842157146426
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,720,0.3611111111111111,-11933.080125,-16.573722395833332,1084672.12,137.10884970064672,-0.011001555128936106
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797,0.37641154328732745,16706.884912,20.96221444416562,4886973.24,97.45225249813272,0.003418656925569742
